IX-2p GO WHERE (1h)part:indef,Where are you going?,Where are you both going?  ,Where do you both want to go?  ,Where are the two of you going?  ,Where will you two go?  ,Where are you and your partner going?  ,Where do the two of you plan to go?  ,Where are you two heading?  ,Where will the both of you head to?  ,Where will you and your partner go?  ,Where do both of you want to head?  ,,,,,,,,,
IX-2p FINISH WORK WHEN IX-2p,When do you finish work?,Are you finished working?  ,Are you done with work?  ,Are you done working?  ,Have you finished with work?  ,Have you finished working?  ,Did you finish your work already?  ,Are you through working?  ,Have you completed your work?  ,Did you complete your work?  ,Are you done with your task?,,,,,,,,,
"#IF POSS-1p FRIEND IX-3p:i START VIDEO-GAME CONTINUE TO/UNTIL DCL:5-C""eyes falling out"" FOR REALLY","If my friend starts to play video games, he will continue until his eyes fall out!","If my friend starts a video game, I will continue playing it until my eyes hurt.  ","If my friend begins playing a video game, I'll keep going until my eyes feel like falling out.  ","When my friend starts a video game, I continue playing until my eyes feel like they are falling out.  ","If my friend plays a video game, I will play until my eyes are so tired they hurt.  ","Should my friend start a video game, I will keep playing until my eyes are exhausted.  ","When my friend plays a video game, I'll continue until my eyes are really tired.  ","If my friend begins a video game, I just keep playing until my eyes are tired.  ","Once my friend begins a video game, I play until my eyes feel really strained.  ","If my friend starts gaming, I will keep on until my eyes are really tired.  ","Whenever my friend starts a video game, I play and continue until my eyes are truly tired.  ",,,,,,,,,
IX-2p PLAN TRIP WHERE,Where do you plan to travel?,Where are you two planning a trip?  ,Where are you both planning to go on a trip?  ,Where are the two of you planning a trip to?  ,Where do you two plan to go for a trip?  ,Where do you both plan to take a trip to?  ,Where are you both going to plan a trip?  ,Where is your planned trip going to be?  ,Where do you and someone else plan to travel?  ,Where are you and your friend planning a trip?  ,Where are you two planning to vacation?  ,,,,,,,,,
MUST #VP WHY++ (1h)part:indef CAN TEXTING_3 part:indef,Why do you have to use the video phone? Can't you text?,Why must the Vice President keep texting indefinitely?  ,Why is the Vice President required to text indefinitely?  ,Why does the Vice President have to text indefinitely?  ,Why must the Vice President continue texting indefinitely?  ,Why does the Vice President need to text indefinitely?  ,Why is the Vice President supposed to keep texting indefinitely?  ,Why must the Vice President be texting indefinitely?  ,Why is the Vice President bound to text indefinitely?  ,Why does the Vice President need to continue texting indefinitely?  ,Why is the Vice President obligated to text indefinitely?,,,,,,,,,
(P)PARTY+ START WHEN,When does the party start?,When does the party start?  ,When is the party going to start?  ,What time does the party start?  ,At what time does the party start?  ,When will the party begin?  ,When is the party starting?  ,What time is the party starting?  ,At what time is the party starting?  ,When does the party begin?  ,When is the beginning of the party?  ,,,,,,,,,
FRIEND IX-3p-pl-2:i/j #VP++ FROM HOME,My friends are videophoning from home.,"Friend, did they visit you from home?  ",Your friends visited you from home?  ,Did friends of yours come to you from home?  ,Are your friends visiting you from home?  ,Did your friends come to visit you at home?  ,Friends came from your home to visit you?  ,Your friends visited from home?  ,Friends came over to you from their home?  ,Did the friends visit you from their home?  ,Did they come to your place from their home?  ,,,,,,,,,
"IX-1p+ LOVE MOVIE_2++ POSS-1p FAVORITE/PREFER++ ""WHAT"" fs-COMEDY #OR MONSTER MOVIE_2+",I love movies. My favorite is comedy or horror movies.,"I love movies, and my favorite is comedy or monster movies.  ","I really love movies, and I prefer comedies and monster movies.  ","I love movies, and I especially like comedy or monster genres.  ",I love movies; my favorites are comedy and monster movies.  ,"Movies are my love, and I prefer comedies or monster films.  ",I love movies; comedy and monster are my top choices.  ,I love movies; my preferred ones are comedy or monster movies.  ,"I adore movies, especially comedies and monster movies.  ",My favorite kinds of movies are comedy and monster.  ,I prefer comedy and monster movies because I love films.  ,,,,,,,,,
IX-1p PROCEED WORK ALL-NIGHT WHY IX-1p GRAB-CHANCE MONEY++,I went ahead and worked all night. It was an opportunity to make more money.,I worked all night because I wanted to take the chance to earn extra money.  ,I've been working all through the night as it's a good opportunity to make more money.  ,I seized the opportunity to make extra money by working all night.  ,Working all night was my choice since it allowed me to grab more money.  ,I decided to work all night so I could take the chance to earn more money.  ,"I took advantage of the chance to make extra money, so I worked all night.  ",Working all night provided me the chance to earn more money.  ,I worked all night because it was a chance to make a lot of money.  ,The reason I worked all night was to grab the opportunity to earn extra money.  ,I spent the whole night working since it was an opportunity to make more money.  ,,,,,,,,,
FRIEND IX-loc:i KISS-FIST GO (1h)FISHING+ (25)WHY LOVE NEW FISH FOR EAT+NIGHT+ EAT+NIGHT+,My friend loves going fishing because he loves fresh fish for dinner.,My friend really likes fishing because they love eating night fish.  ,My friend loves fishing because they love eating fish at night.  ,My friend is fond of going fishing because they enjoy eating fresh fish at night.  ,My friend likes to go fishing because they enjoy eating new fish at night.  ,My friend really loves going fishing because they like tasting newly caught fish at night.  ,The reason my friend kisses their hand and goes fishing is that they love eating fish at night.  ,My friend loves to fish because they enjoy having fresh fish for dinner.  ,My friend adores going fishing since they love having a night meal with fresh fish.  ,My friend has a passion for fishing because they delight in eating night-time fish.  ,My friend enjoys fishing due to their love for eating freshly caught fish at night.,,,,,,,,,
"#IF+ FRIEND GROUP/TOGETHER GO-OUT (P)PARTY+ IX-1p 5""why not"" JOIN IX-1p","If my friends are going to the party, I will join.","If my friends are going out to a party together, why shouldn't I join?  ","If my group of friends is going out to party, why shouldn't I join them?  ","If my friends are going out together to party, why can't I join them?  ","If my friends go out to a party together, why wouldn't I join them?  ","If my friend group goes out partying together, why shouldn't I join too?  ","When my friends are going out for a party together, why shouldn't I join in?  ","If my friends plan to go out and party together, why wouldn't I go with them?  ","When my group of friends goes to a party together, why not join them?  ","If my friends decide to party together, why can't I come along?  ","When my friends are having a party together, why don't I join them?",,,,,,,,,
#WHEN FRIEND GO-OUT (P)PARTY IX-1p GRAB-CHANCE 1p-INFORM:i ROOMMATE+ IX-1p JOIN,"When my friends are  leaving to go to the party, I will let my roommate know that I will be joining them.","When my friend goes out to a party, I take the chance to let my roommate know and join.  ","When a friend goes out to party, I seize the opportunity to tell my roommate and join.  ","When a friend goes to a party, I jump at the chance to inform my roommate and join.  ","If my friend goes out to a party, I grab the opportunity to tell my roommate and I join.  ","Whenever my friend goes out for a party, I make sure to inform my roommate and join in.  ","When the friend is out partying, I seize the chance to inform my roommate, then I join.  ","If a friend goes to party, I take the chance to inform my roommate so I can join.  ","When friends go out to party, I grab the opportunity to let my roommate know and I join.  ","Whenever a friend heads out to party, I inform my roommate and I join them.  ","When a friend goes out for a party, I grab that chance to tell my roommate and join.",,,,,,,,,
ns-fs-BOB IX-loc:i FUTURE SURPRISE FROM THAT SURPRISE THRILL/WHAT'S-UP QMwg,Will Bob be surprised by the surprise event?,"Bob is going to be surprised by that thrilling surprise, what's up?  ","Will Bob be taken aback by that exciting surprise, what's happening?  ","What will Bob's reaction be to that thrilling surprise, what's up?  ","Is Bob going to be surprised by that thrilling surprise, what's going on?  ","How will Bob feel about that exciting surprise, what's up?  ","Bob is going to have a thrilling surprise, what's happening?  ","What thrilling surprise awaits Bob, what is happening?  ","Will that surprise catch Bob off guard, what's going on?  ","How will Bob react to that thrilling surprise, what's up?  ","That exciting surprise is going to astonish Bob, what's happening?",,,,,,,,,
